geoid_2025,geoid_2015,state,relationship,source,note
02013,02013,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Same code in both vintages (Aleutians East Borough).
02016,02016,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Same code in both vintages (Aleutians West Census Area).
02020,02020,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)","Same code in both vintages (ANCHORAGE BOROUGH, AK)."
02050,02050,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Same code in both vintages (Bethel Census Area).
02060,02060,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)","Same code in both vintages (BRISTOL BAY BOROUGH, AK)."
02063,02261,AK,ak_aggregate_member,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Member of 2015 location 02261 'Valdez-Cordova Census Area'.
02066,02261,AK,ak_aggregate_member,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Member of 2015 location 02261 'Valdez-Cordova Census Area'.
02068,02290,AK,ak_aggregate_member,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Member of 2015 location 02290 'Yukon-Koyukuk Census Area + Denali'. Denali Borough (1990) is assigned wholly to this location per the owner's file; historically a small part came from Southeast Fairbanks (02240) -- an owner-directed approximation.
02070,02070,AK,ak_aggregate_member,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)","Member of 2015 location 02070 'Dillingham Census Area + Lake and Peninsula'. The predecessor kept this GEOID with a smaller boundary, so the same code is also a current canonical GEOID."
02090,02090,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)","Same code in both vintages (FAIRBANKS NORTH STAR BOROUGH, AK)."
02100,02100,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Same code in both vintages (Haines Borough).
02105,02231,AK,ak_aggregate_member,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Member of 2015 location 02231 'Skagway-Yakutat-Angoon Census Area'.
02110,02110,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)","Same code in both vintages (JUNEAU BOROUGH, AK)."
02122,02122,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Same code in both vintages (Kenai Peninsula Borough).
02130,02130,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)","Same code in both vintages (KETCHIKAN GATEWAY BOROUGH, AK)."
02150,02150,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)","Same code in both vintages (KODIAK ISLAND BOROUGH, AK)."
02158,02270,AK,renamed,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Wade Hampton Census Area was renamed Kusilvak (02158) in July 2015; the 2015 scheme retains 02270.
02164,02070,AK,ak_aggregate_member,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Member of 2015 location 02070 'Dillingham Census Area + Lake and Peninsula'.
02170,02170,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)","Same code in both vintages (MATANUSKA-SUSITNA BOROUGH, AK)."
02180,02180,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)","Same code in both vintages (NOME CENSUS AREA, AK)."
