geoid,name,namelsad,stusps,state_name,statefp,countyfp,countyns,lsad,aland_sqm,awater_sqm,is_conus,is_territory
01001,Autauga,Autauga County,AL,Alabama,01,001,00161526,06,1539631460,25677536,True,False
01003,Baldwin,Baldwin County,AL,Alabama,01,003,00161527,06,4117933903,1132678359,True,False
01005,Barbour,Barbour County,AL,Alabama,01,005,00161528,06,2292160152,50523213,True,False
01007,Bibb,Bibb County,AL,Alabama,01,007,00161529,06,1612188713,9572302,True,False
01009,Blount,Blount County,AL,Alabama,01,009,00161530,06,1670296790,14822589,True,False
01011,Bullock,Bullock County,AL,Alabama,01,011,00161531,06,1613084323,6029813,True,False
01013,Butler,Butler County,AL,Alabama,01,013,00161532,06,2012002548,2701199,True,False
01015,Calhoun,Calhoun County,AL,Alabama,01,015,00161533,06,1569256904,16525540,True,False
01017,Chambers,Chambers County,AL,Alabama,01,017,00161534,06,1545081616,16975680,True,False
01019,Cherokee,Cherokee County,AL,Alabama,01,019,00161535,06,1433861819,120069842,True,False
01021,Chilton,Chilton County,AL,Alabama,01,021,00161536,06,1794443235,20587728,True,False
01023,Choctaw,Choctaw County,AL,Alabama,01,023,00161537,06,2365900084,19114321,True,False
01025,Clarke,Clarke County,AL,Alabama,01,025,00161538,06,3207494085,36657889,True,False
01027,Clay,Clay County,AL,Alabama,01,027,00161539,06,1564255426,5281615,True,False
01029,Cleburne,Cleburne County,AL,Alabama,01,029,00161540,06,1450725401,2293266,True,False
01031,Coffee,Coffee County,AL,Alabama,01,031,00161541,06,1758772316,3700803,True,False
01033,Colbert,Colbert County,AL,Alabama,01,033,00161542,06,1535740660,79162005,True,False
01035,Conecuh,Conecuh County,AL,Alabama,01,035,00161543,06,2202213385,6426488,True,False
01037,Coosa,Coosa County,AL,Alabama,01,037,00161544,06,1685846963,39991153,True,False
01039,Covington,Covington County,AL,Alabama,01,039,00161545,06,2669171988,34188423,True,False
