legacy_geoid,canonical_geoid,state,note,source
46113,46102,SD,"Shannon County renamed Oglala Lakota County effective May 2015; FIPS changed from 46113 to 46102 (the number went DOWN, not up -- verified directly, do not assume the naive direction).",census_official
02270,02158,AK,"Wade Hampton Census Area renamed Kusilvak Census Area effective July 2015 (FIPS 02270 -> 02158, same boundary).",census_official
02201,02198,AK,"Prince of Wales-Outer Ketchikan Census Area (retired May 2008) renamed/reduced to Prince of Wales-Hyder Census Area (02198) after small slivers were annexed into the already-existing Ketchikan Gateway Borough (02130) and Wrangell City and Borough (02275). Those slivers are not allocated here -- unlike the splits in historical_splits.csv, 02130/02275 already existed before this change, so their current land area is not a valid proxy for the annexed sliver's share. Treated as a 1:1 approximation; the annexed areas are understood to be sparsely populated but this is not independently verified.",census_official_approximate
12025,12086,FL,"Dade County renamed Miami-Dade County effective July 1997; FIPS changed from 12025 to 12086 (same boundary, no split). Found via rpa-landuse-2030's live georef.csv, not anticipated from the downscaling repo alone -- confirms this package needs re-validating against each new consumer's real data, not just the first one.",census_official
51958,51199,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51955,51195,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51953,51191,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51951,51177,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51949,51175,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51947,51165,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
