location_2015,name,coastal,intptlon,intptlat
02013,Aleutians East Borough,1,-161.9974772,55.2450437
02016,Aleutians West Census Area,1,178.338813,51.9594469
02020,"ANCHORAGE BOROUGH, AK",1,-149.2843294,61.1742503
02050,Bethel Census Area,1,-160.1526246,60.9291413
02060,"BRISTOL BAY BOROUGH, AK",1,-156.9966325,58.7301584
02070,Dillingham Census Area + Lake and Peninsula,1,-158.0947258,60.2973197
02090,"FAIRBANKS NORTH STAR BOROUGH, AK",0,-146.6017326,64.6923172
02100,Haines Borough,1,-135.5769363,59.0987709
02110,"JUNEAU BOROUGH, AK",1,-134.1784454,58.3729099
02122,Kenai Peninsula Borough,1,-152.3222833,60.3666677
02130,"KETCHIKAN GATEWAY BOROUGH, AK",1,-131.1066847,55.4499378
02150,"KODIAK ISLAND BOROUGH, AK",1,-153.5635123,57.5020153
02170,"MATANUSKA-SUSITNA BOROUGH, AK",1,-149.6175617,62.2790749
02180,"NOME CENSUS AREA, AK",1,-164.1889119,64.7836858
02185,North Slope Borough,1,-153.4728302,69.4493427
02188,"NORTHWEST ARCTIC BOROUGH, AK",1,-160.0210864,67.0050655
02201,Prince of Wales-Hyder Census Area,1,-133.1623885,55.6827733
02220,Sitka City and Borough,1,-135.3673965,57.1932044
02231,Skagway-Yakutat-Angoon Census Area,0,-135.884909,58.403336
02240,Southeast Fairbanks Census Area,0,-143.2186282,63.8649972
02261,Valdez-Cordova Census Area,1,-145.0231406,61.3498403
02270,"Kusilvak Census Area, AK",1,-163.1909034,62.2830603
02280,Wrangell-Petersburg Census Area,1,-132.0267878,56.1807793
02290,Yukon-Koyukuk Census Area + Denali,0,-151.5778778,65.3757158
